Subscriber_ID,Order_ID,Bad_Performance_Flag,Performance_Group,submissionDate,First_Name,MiddleAndSurName,Last_Name,Address1,Address2,City,State,Zip,Phone,Email_Address,SSN,DOB,IP,License_Number,License_State,initialDecision,finalDecision,manualReviewMethod,fraudType,fraudReportDate,suspectedFraud,confirmedFraud,fraudManualReview,fraudLossAmount,applicationChannel,accountType,lineofBusiness,deviceOS,deviceType,deviceInterface,accountBooked,Subscribers_Age_At_Pickup,Total_Orders,Non-Cancelled_Orders,Non-Rejected_Cancelled_Orders,Rejected_Cancelled_Orders,Orders_Total_Cancelled_Orders,Default,Repo_Total,Repo_Under_1_Month,Repo_Over_1_Month,Chargeback,Chargeback_$,Accident
,885cba67-6a75-43cb-93e1-70c6b68ca359,0,9_NoIP,,Piip,Piipster Penguin,Penguin,123 Bob St,,Bobville,GA,02170,+912222222222,bob.erto+yoyo623@onefootprint.com,,1993-01-01,,SA1234567,GA,,,Full,,,,,yes,,,,Flexcar Bobville,,,,yes,17.0,1,0,0,0,0,,,,,,,0
,d96c7021-6488-47b1-b6ce-cbe65a9d8b7b,0,10_CleanPII,,Piip,Piipster Penguin,Penguin,123 Bob St,Apt 9,Bobville,GA,02170,+912222222222,bob.erto+yoyo623@onefootprint.com,,1993-01-01,,SA1234567,GA,,,Full,,,,,yes,,,,Flexcar Bobville,,,,yes,16.0,1,0,0,0,0,,,,,,,0
,1042f8e9-d6a1-4bbc-be0d-7eb7cb290a5a,1,6_Cancelled,,Piip,Piipster Penguin,Penguin,,,,,,+15555550100,bob.erto+yoyo623@onefootprint.com,,,,SA1234567,GA,,,Full,,,,,yes,,,,Flexcar Bobville,,,,yes,,1,1,0,1,0,,,,,,,0
,66f8c115-201d-4b5a-b49c-423a1264cee4,1,10_CleanPII,,Piip,Piipster Penguin,Penguin,,,,,,+15555550100,bob.erto+yoyo623@onefootprint.com,,1993-01-01,,SA1234567,GA,,,Full,,,,,yes,,,,Flexcar Bobville,,,,no,61.0,1,0,0,0,0,,,,,,,0
2Ad801964-3321-4020-8419-e1bc9b3b4319,1125957b0-3852-40b5-a3af-b822a6ec3de3,1,5_Rejected,2022-11-11,Bob,Boberto,Boberto,123 Bob St,Apt 9,Bobville,GA,30062,+912222222222,bob.erto+yoyo623@onefootprint.com,,1993-01-01,,SA1234567,GA,,,Full,,,,,yes,,,,Flexcar Bobville,,,,yes,87.0,1,0,0,0,0,0,0,0,0,0,3989.74,0
2Bd801964-3321-4020-8419-e1bc9b3b4319,1225957b0-3852-40b5-a3af-b822a6ec3de3,1,5_Rejected,2022-11-11,Bob,Billy Boberto,Boberto,123 Bob St,Apt 9,Bobville,GA,30062,+912222222222,bob.erto+yoyo623@onefootprint.com,,1993-01-01,,SA1234567,GA,,,Full,,,,,yes,,,,Flexcar Bobville,,,,yes,87.0,1,0,0,0,0,0,0,0,0,0,3989.74,0
2Cd801964-3321-4020-8419-e1bc9b3b4319,1325957b0-3852-40b5-a3af-b822a6ec3de3,1,5_Rejected,2022-11-11,Bob,Billy James Boberto,Boberto,123 Bob St,Apt 9,Bobville,GA,30062,+912222222222,bob.erto+yoyo623@onefootprint.com,,1993-01-01,,SA1234567,GA,,,Full,,,,,yes,,,,Flexcar Bobville,,,,yes,87.0,1,0,0,0,0,0,0,0,0,0,3989.74,0
2Dd801964-3321-4020-8419-e1bc9b3b4319,1425957b0-3852-40b5-a3af-b822a6ec3de3,1,5_Rejected,2022-11-11,Bob,Boberto JR,JR,123 Bob St,Apt 9,Bobville,GA,30062,+912222222222,bob.erto+yoyo623@onefootprint.com,,1993-01-01,,SA1234567,GA,,,Full,,,,,yes,,,,Flexcar Bobville,,,,yes,87.0,1,0,0,0,0,0,0,0,0,0,3989.74,0
2Ed801964-3321-4020-8419-e1bc9b3b4319,1525957b0-3852-40b5-a3af-b822a6ec3de3,1,5_Rejected,2022-11-11,Bob,Billy Boberto JR,JR,123 Bob St,Apt 9,Bobville,GA,30062,+912222222222,bob.erto+yoyo623@onefootprint.com,,1993-01-01,,SA1234567,GA,,,Full,,,,,yes,,,,Flexcar Bobville,,,,yes,87.0,1,0,0,0,0,0,0,0,0,0,3989.74,0
2Fd801964-3321-4020-8419-e1bc9b3b4319,1625957b0-3852-40b5-a3af-b822a6ec3de3,1,5_Rejected,2022-11-11,,Bob Boberto,Boberto,123 Bob St,Apt 9,Bobville,GA,30062,+912222222222,bob.erto+yoyo623@onefootprint.com,,1993-01-01,,SA1234567,GA,,,Full,,,,,yes,,,,Flexcar Bobville,,,,yes,87.0,1,0,0,0,0,0,0,0,0,0,3989.74,0
